DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,Label
112.406,93.597,78.004,59.857,2.848,86.411,124.343,1.01,-1.407,0
127.048,57.064,87.196,67.706,2.618,29.961,184.306,0.6,1.221,1
76.226,49.75,60.546,27.821,1.907,7.146,107.092,1.39,-1.401,0
343.139,141.661,273.067,101.562,2.882,46.878,322.489,1.908,-0.027,0
197.904,15.065,147.272,1.278,3.406,1.278,114.623,0.905,-1.413,0
76.097,14.945,50.093,35.041,2.723,22.141,108.441,1.418,1.385,1
115.057,38.148,80.331,88.915,2.096,1.594,197.175,0.404,1.353,1
247.264,32.196,171.882,62.915,3.538,62.915,117.813,0.639,1.405,0
96.572,90.126,73.811,58.575,2.332,66.475,266.089,0.968,-0.764,0
123.892,62.484,99.772,4.242,2.943,4.242,79.171,1.403,-1.406,0
48.102,48.577,35.124,65.264,1.315,1.317,119.173,1.757,0.27,0
112.406,222.168,214.813,17.836,3.067,32.001,209.665,3.673,-1.164,0
109.534,48.869,73.723,155.116,1.362,35.264,338.809,0.565,0.249,0
161.341,71.928,108.924,22.82,3.313,22.82,97.785,2.044,-1.414,0
148.857,37.758,104.515,116.839,2.012,20.215,221.111,1.863,1.39,0
129.356,19.382,94.639,166.971,1.455,26.428,295.638,1.888,1.271,1
98.264,78.754,66.88,39.004,3.217,27.514,122.744,1.352,-1.358,0
107.831,14.438,62.457,151.418,1.378,23.993,217.034,0.524,0.155,0
114.061,31.7,75.695,48.498,1.944,48.498,96.832,0.504,-0.45,0
72.548,1.526,52.786,86.963,1.446,7.912,273.149,2.47,0.945,0
112.406,100.209,100.445,105.299,1.739,31.956,273.153,1.357,-0.003,0
87.545,26.841,63.511,3.68,3.013,3.68,62.492,1.074,-1.398,0
114.162,36.751,88.449,54.165,2.397,54.165,70.145,1.627,-0.498,1
429.191,178.225,267.701,17.82,3.413,17.82,206.906,1.814,-1.404,0
131.417,7.384,87.901,35.548,2.862,31.716,119.434,1.093,1.287,1
117.453,28.571,89.07,0.267,3.647,0.267,52.669,1.21,-1.408,0
112.406,107.836,34.366,34.802,1.017,0.884,113.724,2.796,-0.765,0
155.789,70.646,121.021,28.254,3.115,28.254,106.552,1.178,1.399,0
281.029,69.024,251.826,26.801,4.589,26.801,54.549,1.404,-0.78,0
114.262,57.26,76.672,65.696,2.647,27.919,147.405,0.998,1.401,0
82.477,28.49,58.0,71.677,1.729,0.092,145.142,1.107,1.377,0
112.406,74.699,22.432,27.108,0.767,27.108,57.6,1.154,-0.409,0
125.636,75.74,110.327,4.21,3.151,4.21,75.789,1.876,-1.371,0
97.942,35.815,67.86,26.122,2.705,26.122,69.506,1.034,1.395,1
105.075,48.584,70.09,52.351,2.702,52.35,70.992,0.837,1.411,0
112.406,151.715,82.251,0.291,1.563,0.291,111.146,1.547,-1.382,1
112.406,77.178,18.58,13.417,0.727,13.417,51.627,1.462,-0.815,0
152.417,31.159,108.204,52.368,2.667,9.725,171.311,0.299,-1.386,1
112.406,68.956,105.13,1.808,2.359,1.808,110.354,0.692,-1.392,1
124.207,94.547,63.281,62.548,2.183,2.993,154.527,1.795,0.775,0
133.147,88.574,67.064,26.603,2.644,26.603,77.967,2.783,0.857,0
162.072,69.622,126.77,5.547,2.875,5.547,127.306,1.116,-1.407,0
100.908,13.842,71.764,30.869,2.622,0.332,99.895,1.101,1.398,1
109.431,74.263,61.141,48.393,2.337,27.695,122.426,1.256,0.487,1
127.347,69.562,100.018,145.816,1.369,3.218,308.751,1.027,0.711,1
105.286,19.028,42.228,197.918,1.07,92.105,502.699,0.522,1.321,0
208.228,139.11,153.888,30.947,2.591,30.947,157.178,1.591,-1.136,0
126.626,9.764,90.817,55.892,3.148,0.225,146.727,2.112,-1.386,1
140.25,37.636,104.636,3.262,3.162,3.262,96.386,1.084,-1.406,1
112.406,83.645,82.723,3.889,2.298,3.889,64.963,1.274,-1.394,0
335.64,56.207,263.377,24.719,4.71,24.719,77.358,1.962,-1.414,0
144.633,127.523,102.971,31.262,2.953,23.089,175.607,2.454,-1.408,0
168.611,23.397,99.586,7.409,2.841,7.409,107.742,0.399,-1.336,1
105.135,12.512,81.654,7.271,2.969,7.271,81.513,0.878,-1.414,1
121.221,68.62,92.056,10.501,2.677,10.501,95.154,1.287,-1.35,1
112.244,18.775,70.019,151.87,1.371,33.999,347.334,0.98,1.32,1
132.702,44.414,91.831,87.624,2.441,38.331,276.494,2.084,0.454,0
112.406,86.081,72.871,27.491,2.269,27.491,80.342,0.993,-1.412,0
98.911,76.415,73.677,7.325,2.577,7.325,77.93,1.611,-1.328,0
51.122,53.96,38.476,34.712,1.687,34.712,48.327,1.356,-0.418,0
86.311,55.72,65.977,18.694,2.443,18.694,64.783,1.089,-1.262,0
143.413,1.687,81.432,73.137,2.456,24.448,252.454,1.02,0.945,1
142.674,35.04,81.444,117.111,2.043,46.969,199.26,0.417,1.414,1
112.406,91.664,87.424,23.084,1.846,23.084,106.196,1.028,-1.409,0
94.226,16.891,53.202,103.294,2.09,49.06,165.128,2.007,0.525,0
121.073,60.826,91.217,99.353,1.785,2.564,345.346,2.046,1.161,1
112.406,84.084,40.9,0.207,1.401,0.207,64.069,1.446,-1.392,0
73.973,3.783,45.334,40.122,2.378,1.945,89.678,1.253,0.743,0
158.258,65.685,99.772,125.041,1.908,35.081,218.845,1.427,1.402,1
126.864,12.845,101.058,133.591,2.0,31.202,260.047,4.654,1.251,1
135.081,43.963,97.469,36.171,2.844,1.103,136.9,0.733,1.402,0
142.056,56.175,100.993,92.256,2.763,13.234,293.481,2.714,1.409,1
145.99,68.862,97.342,28.538,3.088,24.909,174.47,2.139,1.41,0
36.63,49.974,26.1,124.625,0.621,0.647,209.141,1.431,0.036,0
118.646,63.159,78.184,255.716,1.034,51.083,622.866,2.823,1.314,1
167.735,83.353,143.159,52.582,2.861,8.3,154.262,2.104,-1.247,0
73.418,20.421,49.319,76.491,1.695,2.451,226.47,1.996,1.382,0
112.406,92.673,55.989,54.305,2.996,23.553,88.147,1.473,-1.329,0
112.406,86.641,52.822,4.186,1.63,4.186,71.152,1.325,-1.381,0
209.788,10.165,140.063,12.892,3.212,12.892,130.89,0.629,1.409,1
57.779,96.635,55.188,27.518,1.522,20.088,110.958,2.184,-1.376,0
140.116,29.468,90.614,103.16,2.147,20.74,213.877,0.408,1.409,1
117.69,19.664,89.168,10.528,2.799,10.528,85.061,0.761,-1.338,1
123.866,78.302,76.715,30.63,2.703,2.614,123.658,3.046,0.369,0
112.406,97.092,100.1,18.77,2.802,18.77,73.55,1.667,-1.395,0
112.406,68.499,78.979,1.292,2.338,1.292,71.446,1.01,-1.414,0
112.406,71.565,62.706,40.913,2.129,40.913,70.577,1.111,-1.353,0
186.95,88.713,154.531,64.097,3.047,59.591,145.482,3.042,-0.307,0
113.83,29.31,83.153,34.111,2.931,3.247,109.696,2.539,-0.773,1
117.116,50.19,87.07,3.194,3.16,3.194,71.9,1.315,-1.399,1
289.32,94.168,186.755,22.858,3.975,22.858,95.035,1.617,1.285,0
226.89,19.07,144.315,36.939,3.918,36.939,63.599,1.079,1.394,0
103.799,81.337,86.419,59.45,1.644,7.832,218.203,1.299,-1.244,0
115.723,46.134,89.708,71.668,2.319,5.036,181.109,2.939,-1.12,1
136.023,3.859,80.335,138.744,2.7,0.976,240.09,3.17,0.874,1
159.944,89.529,118.234,50.386,3.024,65.241,103.742,2.111,-0.302,0
137.771,85.063,70.59,194.858,1.449,4.422,338.85,5.759,1.302,0
141.222,21.946,96.546,136.951,1.6,0.682,290.809,0.663,1.338,1
227.723,55.925,175.092,2.188,4.224,2.188,67.136,1.51,-1.372,0
94.975,94.987,85.946,26.652,2.119,20.855,147.168,1.917,-1.414,0
137.285,13.171,87.236,87.692,2.08,82.376,148.281,0.766,1.252,1
85.572,47.063,65.865,37.043,2.025,37.413,100.277,1.275,-1.067,0
112.406,56.762,85.081,116.363,2.019,99.088,295.879,0.669,0.001,1
84.821,51.594,78.139,7.51,2.347,7.51,74.38,0.708,-1.36,0
90.008,52.432,66.756,29.965,2.507,1.526,87.854,1.141,-0.635,0
112.406,73.04,198.054,0.869,4.125,0.869,57.369,1.339,-1.399,0
130.206,17.854,98.249,22.249,3.043,22.249,93.546,1.045,1.409,1
251.603,8.087,121.203,48.622,2.851,77.645,383.27,0.437,1.258,0
112.406,79.467,53.634,63.665,1.802,17.216,121.164,1.214,-1.186,0
128.797,2.277,93.733,29.1,2.694,29.1,92.8,0.741,1.151,1
113.649,67.184,99.971,44.458,1.881,10.969,154.241,0.762,-1.241,0
109.013,23.732,71.292,31.24,2.789,4.603,102.868,0.918,1.41,0
112.406,90.559,62.236,1.514,2.407,1.514,74.317,2.59,-1.304,0
112.406,71.742,57.295,1.568,2.17,1.568,66.008,1.696,-1.363,0
159.315,55.97,116.839,175.009,2.209,7.844,349.511,5.102,1.38,1
78.28,18.96,55.061,35.819,2.172,25.245,104.167,1.279,-0.596,0
105.922,2.516,70.947,33.22,2.683,2.119,105.683,1.032,1.145,0
156.543,98.248,80.002,33.672,2.797,4.994,116.456,2.139,0.727,1
112.406,96.251,68.27,3.458,2.37,3.458,81.28,2.479,-1.323,0
112.406,63.282,77.901,0.977,2.61,0.977,54.686,1.156,-1.412,0
119.436,109.247,76.99,8.901,2.563,8.901,86.486,3.32,-1.212,0
189.399,46.181,151.937,2.932,2.883,2.932,151.288,0.909,-1.411,0
97.256,52.919,58.351,34.737,2.538,2.119,95.033,1.508,1.326,0
131.947,10.279,71.069,102.998,2.135,29.324,219.103,1.032,1.178,1
107.308,17.08,56.637,61.141,2.638,61.141,57.685,0.963,1.351,1
132.004,50.889,57.732,150.516,1.564,7.592,226.814,1.554,1.411,1
128.204,37.414,64.967,141.256,1.666,4.411,228.952,0.934,1.402,1
105.209,101.807,87.438,43.163,2.144,12.983,133.149,2.7,-0.85,0
165.377,87.434,129.653,0.808,2.829,0.808,127.559,1.352,-1.4,0
117.819,89.622,80.34,5.81,3.118,5.81,82.959,2.451,-1.391,0
109.857,61.268,83.771,7.412,2.937,7.412,84.609,1.344,-1.407,0
163.585,16.044,93.743,8.637,2.852,8.637,96.209,0.433,-1.136,1
101.727,79.082,69.11,29.181,3.03,29.181,69.387,1.453,1.377,1
101.651,8.801,60.693,26.699,2.787,12.451,253.178,0.795,-0.688,0
103.718,79.439,78.56,54.265,2.179,7.068,138.427,2.567,0.177,0
65.048,5.511,43.047,70.628,1.653,2.386,187.799,1.337,0.767,0
88.647,4.293,54.059,99.55,1.878,10.236,168.479,2.09,1.083,0
126.559,12.511,94.317,36.588,2.984,36.588,89.452,1.155,1.377,1
47.105,57.429,43.3,5.52,1.74,5.52,56.562,0.974,-1.403,0
112.406,60.872,58.833,1.916,2.353,1.916,51.458,1.443,-1.378,0
121.27,56.202,83.138,100.172,1.766,32.234,181.734,1.012,1.279,0
153.477,3.425,67.894,117.586,2.481,0.591,170.855,1.154,0.929,1
186.248,0.142,121.083,20.636,3.057,20.636,125.306,0.526,0.952,1
112.719,62.363,90.507,8.185,2.596,8.185,94.089,1.351,-1.41,0
165.037,64.751,103.688,2.225,3.39,2.225,83.637,1.584,-1.399,1
127.183,41.415,101.016,4.845,3.419,4.845,63.611,1.4,-1.406,0
116.594,13.0,72.891,27.825,2.525,27.825,72.442,0.595,-0.275,0
112.768,13.627,67.557,26.573,2.433,26.573,75.034,0.561,-0.372,0
112.251,32.042,84.654,80.895,1.778,29.287,149.991,0.604,-0.021,1
85.93,38.242,65.746,39.665,1.896,5.525,194.386,1.234,-1.408,0
93.078,52.47,66.65,36.234,2.776,3.137,140.111,1.469,1.188,1
112.406,119.982,98.193,29.02,2.81,9.371,114.642,2.333,-1.369,0
246.572,44.374,147.186,22.999,3.963,22.999,82.136,1.995,-1.414,0
36.205,61.773,34.83,7.193,1.305,7.193,57.413,0.904,-1.414,0
130.922,20.058,75.151,238.857,1.017,43.418,409.083,0.446,1.317,1
68.675,53.342,61.063,30.465,2.016,30.465,62.379,1.571,-1.154,0
113.549,53.19,83.432,19.703,3.043,19.703,82.499,0.982,1.353,1
109.638,49.203,80.982,14.871,2.312,16.589,262.502,0.9,-1.412,0
108.042,46.676,80.663,20.92,2.843,20.92,81.548,0.82,-1.383,1
88.267,0.271,61.468,33.207,3.035,4.021,208.09,1.703,1.086,0
112.406,75.224,68.349,24.355,1.723,24.355,90.066,0.932,-1.297,0
88.939,42.93,62.391,72.286,2.216,5.116,147.073,2.897,1.414,0
110.514,24.5,86.001,40.038,2.339,40.038,97.67,0.463,-1.339,1
129.313,6.16,73.484,18.084,2.945,19.828,114.603,0.528,1.349,1
112.406,96.904,153.078,24.007,3.2,24.007,70.869,2.233,-1.218,0
120.553,63.801,68.572,58.321,2.641,58.321,68.277,0.714,1.057,0
112.406,129.488,99.799,68.742,1.985,23.247,213.811,2.882,-1.4,1
126.333,45.127,89.018,49.344,2.998,25.769,126.529,1.188,1.205,0
94.667,42.209,72.758,0.316,2.888,0.316,71.172,1.254,-1.406,1
90.254,49.077,72.324,2.404,2.728,2.404,61.109,1.259,-1.408,1
180.833,81.58,112.045,3.212,3.369,3.212,78.697,2.162,-1.288,0
122.796,8.228,55.721,139.068,1.99,3.606,196.983,1.463,1.144,1
170.367,61.741,125.212,36.027,3.723,0.233,86.875,1.057,-0.729,0
102.114,85.85,72.73,50.038,2.578,23.831,113.344,2.483,1.137,1
189.945,20.118,94.648,128.873,2.356,1.049,227.862,1.094,1.251,0
127.721,61.149,103.873,32.466,2.284,3.347,150.776,0.541,-1.412,0
93.572,6.684,62.555,44.009,2.194,11.409,103.653,0.768,0.621,0
100.359,2.612,76.045,93.238,1.505,47.094,156.101,0.793,0.899,0
147.247,3.656,113.342,106.498,2.062,22.678,220.44,1.342,1.225,1
91.302,56.298,67.02,26.37,3.146,26.37,65.881,1.226,-1.414,0
137.025,7.453,82.112,24.034,3.157,31.872,132.05,0.734,-1.414,1
126.659,66.093,97.322,3.785,2.8,3.785,97.6,1.343,-1.407,1
97.583,72.685,67.446,20.874,2.886,20.874,75.073,2.578,1.329,0
89.122,60.812,71.326,5.463,2.462,5.463,76.044,1.234,-1.389,0
144.01,89.407,125.351,21.039,2.705,21.039,122.16,1.538,-1.413,0
65.358,68.376,57.255,4.404,2.102,4.404,64.693,1.538,-1.401,0
118.422,71.868,64.497,32.137,2.654,1.97,103.561,2.264,1.294,0
172.411,3.132,96.637,128.707,2.429,49.759,208.703,1.622,0.923,1
108.037,20.043,80.627,0.945,3.098,0.945,80.426,1.077,-1.413,1
104.197,13.531,81.77,99.551,1.671,5.271,230.889,0.373,0.013,0
102.523,64.875,64.65,18.725,2.657,18.725,74.361,2.702,-1.189,0
75.584,21.071,55.317,4.106,2.783,4.106,56.314,0.88,-1.414,0
112.406,60.476,107.835,1.792,3.343,1.792,55.108,1.463,-1.38,0
101.363,60.646,69.103,180.007,1.134,49.987,250.262,1.297,0.615,0
129.157,57.729,83.303,0.654,3.134,0.654,77.279,1.545,-1.381,0
97.913,59.229,58.979,2.376,3.015,2.376,61.937,1.888,-1.357,1
112.406,77.991,35.506,37.152,1.174,36.928,137.637,1.768,-0.876,0
103.869,114.293,72.408,35.73,3.232,35.73,73.323,2.568,-1.413,0
177.857,66.774,144.95,1.094,3.005,1.094,135.559,1.141,-1.411,0
137.033,44.952,95.836,72.377,2.256,11.44,180.738,0.695,1.381,1
92.606,94.369,78.342,76.503,1.356,38.7,243.905,1.527,-0.987,0
134.596,10.492,98.733,25.338,3.011,25.338,98.751,0.758,-1.314,1
125.016,10.431,70.581,60.178,3.131,27.646,96.564,1.249,-1.206,1
114.451,6.131,64.391,87.659,2.118,2.608,223.095,0.853,1.154,0
112.406,109.459,75.718,4.297,3.071,4.297,88.557,3.263,-1.364,0
123.189,4.715,89.713,9.634,3.13,9.634,89.632,0.827,-1.412,1
147.23,36.286,106.45,42.18,3.007,42.18,107.943,1.382,1.413,0
165.634,52.692,113.952,8.241,3.721,8.241,70.361,1.487,-1.411,0
580.207,101.988,462.369,39.011,4.901,97.539,507.48,2.578,-1.404,0
112.406,103.969,68.484,26.182,1.993,26.182,83.083,1.474,-1.414,0
151.78,79.28,118.769,39.994,3.261,39.994,98.415,0.93,1.377,0
138.226,1.211,88.364,55.118,2.412,1.911,159.656,0.346,0.926,0
132.121,6.823,55.813,203.635,1.239,16.865,286.844,0.526,0.893,1
149.24,44.859,95.317,53.086,2.693,0.212,150.696,0.834,1.414,0
102.482,39.806,65.342,64.544,3.055,17.82,254.508,1.534,1.413,0
116.422,5.451,71.71,24.787,2.766,24.787,74.415,0.625,1.281,1
117.875,33.746,53.716,178.574,1.307,35.261,300.755,1.006,1.399,1
62.261,34.089,48.884,3.85,2.438,3.85,52.113,1.116,-1.412,0
131.956,29.662,85.132,70.976,2.357,2.851,165.792,0.581,1.409,1
112.406,164.203,127.458,39.103,2.673,77.045,234.588,3.728,-1.404,0
132.372,4.803,85.023,0.063,3.194,0.063,80.881,0.511,-1.346,1
115.517,37.076,84.643,6.296,3.506,6.296,55.0,1.51,-1.137,0
83.238,8.404,60.731,25.953,2.994,25.953,60.86,0.925,1.39,0
112.406,111.42,75.559,26.28,2.237,26.28,77.044,1.579,-1.33,0
112.406,90.653,155.278,113.178,2.779,1.438,267.382,1.107,-1.378,0
105.074,4.32,58.829,45.089,2.94,0.8,99.974,1.011,1.242,0
112.406,94.462,159.854,20.505,3.767,20.505,84.144,1.667,-1.389,0
96.987,38.784,65.992,108.852,1.946,2.08,246.163,3.286,1.391,1
56.354,41.028,42.87,7.933,2.025,7.933,50.538,1.073,-1.398,0
84.799,16.981,57.188,176.485,1.124,5.991,298.265,2.922,1.244,0
133.855,15.87,85.797,39.853,2.953,3.287,122.903,1.093,-1.35,1
108.655,0.376,70.231,54.176,2.376,6.081,228.365,1.086,0.986,1
105.0,103.717,97.606,60.5,1.879,5.194,175.367,2.317,-1.334,1
112.406,79.51,48.265,0.261,1.886,0.261,61.439,1.997,-1.34,0
237.762,13.073,187.053,156.878,3.04,33.875,393.695,4.024,-1.303,0
110.304,9.695,75.217,75.664,2.466,24.693,174.759,2.309,1.219,1
112.406,98.126,48.362,167.044,0.774,118.188,414.052,1.757,0.037,0
114.172,47.822,73.227,56.776,2.608,7.627,207.004,0.817,1.227,1
71.251,41.545,55.132,1.522,2.703,1.522,56.653,1.336,-1.404,0
107.865,34.395,73.214,74.845,2.105,4.332,210.093,1.452,1.41,1
110.055,37.374,86.377,0.571,2.936,0.571,80.334,1.028,-1.414,1
112.406,58.63,48.042,0.329,1.834,0.329,60.239,0.951,-1.413,0
91.506,53.656,77.564,23.837,2.427,23.837,53.159,1.145,-1.103,0
82.017,54.068,50.863,112.086,1.626,22.326,202.208,0.846,1.064,0
112.406,80.159,39.845,30.135,1.355,0.794,95.428,1.68,-0.839,0
129.77,89.033,111.541,106.226,1.62,1.18,296.539,1.975,-1.345,1
116.956,16.924,64.334,84.835,2.343,2.624,153.405,1.209,1.289,1
130.746,11.185,77.368,21.795,2.728,21.795,78.356,0.572,-0.535,0
112.406,71.851,57.978,0.135,1.956,0.135,70.204,1.226,-1.407,0
87.742,55.209,50.591,89.226,1.658,28.74,133.756,2.503,1.2,1
63.164,56.227,48.688,79.098,1.461,27.377,166.763,2.017,-0.019,0
89.751,20.205,63.742,82.96,1.75,30.411,165.715,1.354,1.385,0
167.925,13.655,91.576,125.507,1.907,48.524,352.932,0.652,1.205,1
63.828,32.559,39.495,92.217,1.514,45.739,131.028,1.491,1.412,0
114.518,69.696,86.077,43.065,2.937,33.688,192.718,2.565,-1.408,0
149.081,130.121,82.98,24.441,2.835,51.694,122.187,2.858,-1.372,0
192.685,68.685,143.332,6.674,3.212,6.674,118.806,1.201,-1.389,0
90.094,12.311,65.141,1.25,2.939,1.25,65.649,0.791,-1.399,1
174.192,119.998,139.119,58.117,3.186,25.922,166.427,4.684,-1.361,0
118.167,25.646,71.698,48.21,2.775,37.135,309.542,1.013,-1.291,1
95.27,17.695,53.822,83.467,1.864,27.086,129.746,1.069,0.504,0
100.219,16.266,68.237,81.566,2.117,43.645,119.932,1.608,0.39,1
112.406,82.048,112.537,156.538,2.761,50.672,214.327,1.407,-1.327,0
112.406,70.738,127.452,230.611,2.329,39.023,502.124,4.684,0.255,0
126.892,45.045,95.064,30.652,2.698,0.507,128.405,1.176,-1.39,0
54.157,56.42,43.384,46.937,1.211,2.489,123.607,1.192,-1.061,0
132.178,5.807,57.092,141.719,1.691,1.812,218.635,0.613,1.102,1
174.854,0.752,112.409,37.683,2.888,25.562,177.928,0.426,1.076,1
93.784,48.997,77.044,7.583,2.949,7.583,65.814,1.544,-1.409,0
108.245,17.322,78.046,17.176,2.56,17.176,82.436,0.637,-1.189,1
104.37,84.518,67.337,28.44,3.105,28.44,67.845,1.601,1.389,0
150.708,10.375,91.105,103.476,2.034,26.936,185.642,0.415,1.237,1
62.959,67.611,52.451,52.392,1.376,52.392,77.742,2.091,-1.408,0
107.89,16.901,78.762,22.434,2.878,22.434,76.365,1.342,1.412,0
112.406,75.567,33.01,0.746,1.279,0.746,52.931,1.432,-1.387,0
118.13,26.883,75.936,49.573,2.921,1.986,124.144,1.419,1.405,0
126.254,3.496,84.168,52.12,3.179,26.265,100.531,1.854,1.207,0
52.839,68.264,47.859,2.597,1.942,116.329,177.727,1.553,-1.364,1
114.204,9.518,87.723,62.353,2.25,0.616,168.117,2.256,-0.027,0
165.048,71.632,149.902,55.03,2.567,0.968,148.881,0.675,-1.38,0
112.406,87.223,67.945,45.781,2.351,45.781,66.378,1.075,-1.021,0
141.473,59.538,99.731,31.476,3.016,29.113,209.367,1.785,1.395,0
112.406,61.888,105.364,58.251,2.546,1.988,139.115,0.947,-0.85,0
75.585,5.819,38.173,261.09,0.652,45.332,420.277,0.205,1.31,0
112.406,129.346,66.325,20.042,1.778,17.185,112.752,2.155,-1.121,0
114.926,27.051,57.436,111.939,1.727,1.734,189.052,0.626,1.393,1
115.618,13.974,77.963,87.663,2.406,48.286,295.792,2.388,1.258,1
125.051,14.424,83.436,124.158,1.772,3.531,284.745,1.033,1.335,1
73.552,37.86,53.41,0.994,2.826,0.994,53.826,1.425,-1.389,0
112.406,89.183,43.331,18.727,1.465,18.727,58.207,1.046,-1.413,0
169.904,48.636,136.494,8.02,3.477,8.02,81.775,1.262,-1.414,0
102.412,9.596,82.128,113.331,1.453,34.747,317.643,1.866,0.352,0
136.534,6.578,101.477,89.053,1.989,3.973,217.1,1.087,1.218,1
112.406,67.575,34.284,78.698,1.302,25.591,107.217,1.089,0.067,1
175.383,3.88,95.714,3.03,3.171,3.03,102.019,0.343,-1.301,1
109.058,29.097,74.297,106.153,1.754,26.043,244.47,1.411,1.396,1
138.162,46.338,88.78,76.194,2.389,34.809,137.902,1.535,1.413,0
112.406,135.614,60.021,12.335,1.222,12.335,99.793,1.091,-1.353,1
100.913,15.37,68.862,30.807,2.862,19.563,108.778,1.318,-1.301,0
107.056,1.713,69.7,81.483,2.341,2.82,245.659,2.29,0.956,1
114.005,57.497,87.743,50.766,1.902,27.051,442.989,1.323,-1.38,0
101.219,79.766,71.694,26.393,3.213,26.393,63.42,2.112,1.382,1
193.06,61.208,155.243,117.104,2.764,31.113,266.209,4.162,-0.218,0
110.556,65.682,78.681,6.182,2.762,6.182,80.975,1.685,-1.325,1
178.596,37.233,131.194,52.05,3.207,2.156,165.899,1.533,1.411,0
99.526,12.022,62.295,37.792,2.615,0.201,137.607,0.799,1.349,0
99.317,66.616,62.21,3.971,2.874,3.971,65.103,1.979,-1.275,0
210.133,88.962,154.29,45.259,2.746,1.17,203.321,1.143,1.321,0
107.909,1.469,59.24,45.302,3.036,2.121,101.548,1.011,1.196,0
136.06,65.076,106.683,59.426,2.419,27.887,198.151,1.896,-1.343,1
99.297,23.057,73.909,1.309,2.829,1.309,75.177,0.772,-1.405,0
106.48,30.872,77.943,7.285,2.661,7.285,75.506,0.553,-1.369,1
72.58,69.011,60.085,2.947,2.321,2.947,67.793,1.719,-1.35,0
144.612,16.37,92.502,102.442,3.115,0.364,199.933,1.936,-1.412,1
135.681,0.302,96.633,28.456,2.819,10.74,127.38,1.188,1.032,1
112.406,113.738,59.736,85.193,0.902,5.921,299.259,0.498,-0.311,0
112.406,93.96,32.681,0.506,1.041,0.506,62.573,1.469,-1.385,0
74.831,25.666,54.584,17.068,2.925,17.068,53.185,1.354,-1.41,0
112.406,180.729,81.851,135.866,1.012,5.737,657.858,1.986,-0.015,0
75.066,36.274,56.293,226.704,0.698,30.708,470.955,2.581,0.286,0
77.871,57.627,61.83,38.851,1.644,9.45,181.919,1.04,-1.098,0
75.169,12.504,54.887,71.506,1.79,29.036,118.175,2.457,0.548,0
142.688,73.162,105.435,8.935,2.971,8.935,99.313,1.303,-1.369,0
145.569,79.865,119.414,70.633,2.135,6.549,175.457,1.054,-0.665,0
144.829,10.226,107.511,2.388,3.251,2.388,91.539,0.842,-1.403,1
169.003,67.354,133.481,4.752,3.627,4.752,66.066,1.769,-1.33,0
87.029,25.755,61.688,30.814,2.732,30.814,57.106,1.237,1.414,0
112.406,203.515,408.451,24.335,4.498,19.434,218.866,3.391,0.501,0
162.356,7.597,88.62,70.856,3.101,2.929,160.523,1.076,1.397,0
112.406,54.717,46.211,36.124,1.814,36.124,57.316,0.904,-1.127,0
162.909,86.566,99.042,0.803,3.273,0.803,73.824,2.575,-1.29,0
151.924,55.251,110.582,1.703,2.992,1.703,110.012,1.214,-1.404,1
118.45,8.449,82.753,33.461,2.733,2.421,103.184,0.879,1.338,0
136.462,8.808,91.711,0.841,3.153,0.841,86.0,0.604,-1.383,1
97.551,20.519,71.041,4.506,2.756,4.506,73.415,0.71,-1.393,1
64.544,0.099,28.945,341.418,0.714,35.293,508.349,3.894,1.01,0
248.04,38.303,181.982,76.451,2.891,9.905,268.484,0.5,1.204,0
238.596,4.826,144.886,222.744,2.372,89.783,417.123,2.634,1.043,0
112.406,70.484,54.085,7.602,1.906,7.602,65.246,1.148,-1.414,0
101.167,16.793,50.068,160.721,1.338,19.715,248.752,1.284,1.274,1
111.808,68.091,87.821,1.678,3.135,1.678,66.535,2.039,-1.346,0
152.329,30.344,51.103,273.65,1.179,32.424,388.89,1.694,1.319,0
246.738,72.359,148.521,0.79,3.986,0.79,76.196,1.981,-1.329,0
112.014,51.267,70.122,40.007,2.955,1.592,110.064,0.721,1.405,1
76.373,47.439,53.431,29.429,2.737,2.054,84.668,0.956,1.229,0
112.406,93.845,61.66,0.969,1.861,0.969,70.308,1.686,-1.369,0
104.88,0.716,75.818,38.451,2.46,2.3,111.101,0.562,1.175,0
127.407,36.451,87.55,1.808,3.409,1.808,64.694,1.246,-1.409,1
198.762,77.259,146.594,23.162,3.411,23.162,103.078,1.259,1.207,0
111.095,50.953,89.965,86.694,1.589,0.307,209.369,0.868,-0.598,1
135.382,68.965,85.587,1.019,3.203,1.019,67.108,2.12,-1.341,0
112.406,82.731,59.002,35.863,1.309,35.863,89.683,0.565,-1.306,0
91.981,66.271,66.996,20.773,3.184,20.773,56.839,1.473,-1.362,0
65.032,66.431,62.803,1.563,2.278,1.563,63.125,1.46,-1.395,0
88.739,44.735,65.894,12.954,3.058,12.954,63.426,1.088,-1.412,1
168.994,107.954,107.865,34.914,2.684,34.914,106.968,1.369,-0.902,0
143.452,15.919,80.594,43.442,2.447,2.621,127.881,0.618,-0.064,1
144.104,26.162,106.985,76.305,2.127,25.237,175.344,0.685,1.411,1
122.566,12.021,86.446,43.695,2.7,4.963,138.034,1.472,-0.616,1
80.669,31.117,50.847,48.595,2.439,5.362,101.705,1.185,1.413,1
